Time (s),ECG_Original (mV),ECG_Filtered (mV),ECG_Denoised (mV)
15.63,159.56043956043956,23.68897703900167,17.471460919646006
15.63,180.5128205128205,79.9056753812435,44.95909039649838
15.631,181.3186813186813,69.29873132734558,56.65316452379695
15.641,0.0,-59.2211997782091,-36.99711226808036
15.641,0.0,-73.58674838258062,-56.151521351295386
15.642,0.0,-32.24120389450934,-28.113136516972187
15.642,0.0,-32.29806781594688,-6.898559880886825
15.642,0.0,-14.234389572825867,-4.985762186277785
15.642,0.0,-5.868556222063397,-13.447248580894751
15.643,0.0,-1.7855389819614231,-5.0379417515634195
15.643,0.0,4.32473875727613,4.3256626391678275
15.643,0.0,2.0156170767281836,2.997599427065557
15.644,0.0,3.3135109394091806,-1.2488051696182152
15.644,0.0,-2.8606607111947397,-3.0376010489904015
15.644,0.0,-6.574539892597549,-6.521720375258045
15.644,0.0,-11.560909972739804,-11.727034003430322
15.645,0.0,-25.544314822696286,-20.218905862490963
15.645,0.0,-17.2881070053364,-25.944510254511467
15.645,0.0,-47.492414944611355,-30.74721317560617
15.645,0.0,-22.233894755182863,-2.400205957441159
15.656,194.2124542124542,140.41312734549544,120.72473921839166
15.656,180.5128205128205,149.2641357164859,106.59459045589135
15.656,51.57509157509158,10.662434340983395,-6.994858504914255
15.657,0.0,-32.073042807626805,-20.18948642558374
15.657,0.0,-24.888785304164053,-22.938798082310843
15.657,0.0,-20.69349930888912,-15.264430311653665
15.658,0.0,-11.991685386752938,-0.9116885181898439
15.658,0.0,-9.83809046003665,-5.393187869938224
15.658,0.0,-5.147500147781873,-13.551879522462228
15.658,0.0,-8.52620876997845,-6.0516440554402
15.659,0.0,-11.009525627370227,-1.0126013921245687
15.659,0.0,-18.693977996413278,-13.280251239018659
15.659,0.0,-36.511229537812106,-32.952685862559775
15.659,0.0,-37.75609378320169,-43.819683533766295
15.66,0.0,-80.6761560764796,-55.822215245090185
15.66,0.0,-68.10838877255227,-42.355748488341405
15.67,182.1245421245421,57.08508835883631,39.73949466620844
15.671,190.1831501831502,76.75790858707241,39.87398588378191
15.671,188.57142857142856,33.6890395562984,29.28763349638105
15.671,190.989010989011,33.584090364011814,25.928355976689428
15.672,187.76556776556774,14.39066369719803,18.1573225196379
15.672,180.5128205128205,-0.14172411461768064,2.2344244889002995
15.672,185.34798534798534,5.2308310524881385,-7.007621301908234
15.672,185.34798534798534,6.008472043227293,5.605299618394279
15.673,188.57142857142856,16.347703339284326,25.533768846422035
15.673,188.57142857142856,35.20046570562063,35.971959698939585
15.673,191.7948717948718,38.30584842854848,40.417856648954164
15.673,190.989010989011,83.16785041172315,52.56005141905589
15.674,190.1831501831502,65.85998440260565,53.631284122381075
15.684,0.0,-64.38047791887352,-34.31575346889916
15.684,0.0,-83.05409261444781,-53.008501287044226
15.685,0.0,-40.90188271001202,-42.788270419010544
15.685,0.0,-47.13912885637872,-45.81989477608937
15.685,0.0,-35.713977146515994,-40.32296709885222
15.686,0.0,-35.285464481422856,-42.52274038178168
15.686,0.0,-48.75655000283133,-41.62420458984353
15.686,0.0,-45.53567700002749,-40.670257730564174
